post_title,data_provider,post_excerpt,use_case,related_data_sets,rating,data_categories
GeoCreditIQ by AnalyticsIQ - Consumer Credit Rating Data USA - 241M Individuals,AnalyticsIQ,"GeoCreditIQ by AnalyticsIQ - Consumer Credit Rating Data USA - 241M Individuals dataset provides information regarding: Individual Data,Marketing Attribution Data,Economic Data and more.",,"CharityIQ,Multimedia Lists Consumer Audience Data USA (245 Million Individuals),Adstra Consumer | Consumer Data USA, Canada, Australia (232M individuals and 300 data elements),Predictive Credit Intelligence :",4,"Individual Data,Marketing Attribution Data,Economic Data"
AutoIQ by AnalyticsIQ - Consumer Vehicle Data USA - 118M Households,AnalyticsIQ,AutoIQ by AnalyticsIQ - Consumer Vehicle Data USA - 118M Households dataset provides information regarding: Automotive Industry Data and more.,Targeted Marketing,"TravelIQ,WalkLists | Consumer Data Household Automobile Purchase USA (>240M Consumers),TRAK Data - Full US Consumer Demographic Data File with 251M+ Individuals and 170M+ Households,Throtle - Consumer Identity Resolution USA (130M+ households, 250M+ individuals) :",4,Automotive Industry Data
MotivatorIQ by AnalyticsIQ - Consumer Purchase Intent Data USA - 241M Individuals,AnalyticsIQ,"MotivatorIQ by AnalyticsIQ - Consumer Purchase Intent Data USA - 241M Individuals dataset provides information regarding: Individual Data,Consumer Lifestyle Data,Demographic Data,Psychographics Data and more.",Targeted Marketing,"PurchaserIQ,Adstra Consumer | Consumer Data USA, Canada, Australia (232M individuals and 300 data elements),InMarketIQ,Mapping Resources: Consumer List Database - Individual and Household Consumer Identity Data for the USA :",3,"Individual Data,Consumer Lifestyle Data,Demographic Data,Psychographics Data"
JobsIQ by AnalyticsIQ - Consumer Employment Data USA - 241M Individuals,AnalyticsIQ,"JobsIQ by AnalyticsIQ - Consumer Employment Data USA - 241M Individuals dataset provides information regarding: Demographic Data, Individual Data and more.",Targeted Marketing,"MotivatorIQ,Adstra Consumer | Consumer Data USA, Canada, Australia (232M individuals and 300 data elements),Blue Mail Media's Consumer Demographic Data - Employment Data, Age Data, Gender Data.,Multimedia Lists Consumer Audience Data USA (245 Million Individuals) :",4,"Demographic Data, Individual Data"
DemoIQ by AnalyticsIQ - Consumer Demographic Data USA - 241M Individuals,AnalyticsIQ,"DemoIQ by AnalyticsIQ - Consumer Demographic Data USA - 241M Individuals dataset provides information regarding: Demographic Data,Marketing Attribution Data,Consumer Lifestyle Data,Individual Data and more.",Targeted Marketing,"JobsIQ,TRAK Data - Full US Consumer Demographic Data File with 251M+ Individuals and 170M+ Households,WalkLists | Consumer Data Lists Household's Individual Resident Demographic Characteristics USA ( >240M Consumers),B2C Link - links business executive and their individual demographic data :",5,"Demographic Data,Marketing Attribution Data,Consumer Lifestyle Data,Individual Data"
HousingIQ by AnalyticsIQ - Consumer Housing Data USA - 118 Households,AnalyticsIQ,"HousingIQ by AnalyticsIQ - Consumer Housing Data USA - 118 Households dataset provides information regarding: Demographic Data,Individual Data,Consumer Lifestyle Data,Real Estate Data and more.",Targeted Marketing,"HealthIQ,Consumer Marketing Database - U.S Coverage of 217M Individuals, 118M Households- Demographics, Housing, Interests, Income, Insurance, Occupation,WalkLists | Consumer Data Household Donations And Contributions USA (>240M Consumers),Mapping Resources: Consumer List Database - Individual and Household Consumer Identity Data for the USA :",3,"Demographic Data,Individual Data,Consumer Lifestyle Data,Real Estate Data"
ChannelIQ by AnalyticsIQ - Consumer Marketing Data USA - 241M Individuals,AnalyticsIQ,"ChannelIQ by AnalyticsIQ - Consumer Marketing Data USA - 241M Individuals dataset provides information regarding: Individual Data,Marketing Attribution Data and more.",Targeted Marketing,"InMarketIQ,Acxiom - Consumer Marketing Data - Analytics File and Services (Germany & UK Covered),Multimedia Lists Consumer Audience Data USA (245 Million Individuals),Adstra Consumer | Consumer Data USA, Canada, Australia (232M individuals and 300 data elements) :",4,"Individual Data,Marketing Attribution Data"
HealthIQ by AnalyticsIQ - Consumer Healthcare Data USA - 118M Households,AnalyticsIQ,"HealthIQ by AnalyticsIQ - Consumer Healthcare Data USA - 118M Households dataset provides information regarding: Individual Data,Consumer Lifestyle Data,EHR Data,Marketing Attribution Data and more.",Targeted Marketing,"Consumer Healthcare Data | Consumer Healthcare Leads | Healthcare Consumer Database,HousingIQ,Best Healthcare Solutions Provider | Healthcare Data | Physician Data,Pharma Data | Healthcare Data | Biopharma Data :",4,"Individual Data,Consumer Lifestyle Data,EHR Data,Marketing Attribution Data"
CharityIQ by AnalyticsIQ - Consumer Donation Data USA - 241M Individuals,AnalyticsIQ,"CharityIQ by AnalyticsIQ - Consumer Donation Data USA - 241M Individuals dataset provides information regarding: Individual Data,Consumer Lifestyle Data,Marketing Attribution Data and more.",Targeted Marketing,"ChannelIQ,Adstra Consumer | Consumer Data USA, Canada, Australia (232M individuals and 300 data elements),Mapping Resources: Consumer List Database - Individual and Household Consumer Identity Data for the USA,Multimedia Lists Consumer Audience Data USA (245 Million Individuals) :",3,"Individual Data,Consumer Lifestyle Data,Marketing Attribution Data"
TravelIQ by AnalyticsIQ - Consumer Travel Data USA - 118M Households,AnalyticsIQ,"TravelIQ by AnalyticsIQ - Consumer Travel Data USA - 118M Households dataset provides information regarding: Demographic Data,Tourism Data,Aerospace Industry Data,Individual Data and more.",Targeted Marketing,"AutoIQ,Adstra Travel | In-Market Consumer Travel Data USA,Gravy Analytics Trade Area Data Globally -- analyze where consumers travel from to shop, dine, and visit other places of commercial interest.,TRAK Data - Full US Consumer Demographic Data File with 251M+ Individuals and 170M+ Households :",5,"Demographic Data,Tourism Data,Aerospace Industry Data,Individual Data"
RoleIQ by AnalyticsIQ - Employee Data USA - 65M Professionals,AnalyticsIQ,"RoleIQ by AnalyticsIQ - Employee Data USA - 65M Professionals dataset provides information regarding: B2B Data,Employment Data,B2B Marketing Fit Data and more.",,"MessageIQ,APAC Leads | Reach the Top Professionals Globally incl. Japan, Singapore - 44 Million Professionals,Health Services Professionals USA | B2B Data,HR Data - Reach HR Decision Makers, HR Professionals With Ease :",3,"B2B Data,Employment Data,B2B Marketing Fit Data"
USA Young Adult Audience Data by ASL Marketing,ASL Marketing,USA Young Adult Audience Data by ASL Marketing dataset provides information regarding: Marketing Attribution Data and more.,,"USA High School Student Marketing Database,FrescoData Email Marketing - Consumer B2C Data10K+ Audience Attributes,Audience Marketplace: Audience Data for LATAM & US,Audience Data for Nordic Marketers :",4,Marketing Attribution Data
USA High School Student Marketing Database by ASL Marketing,ASL Marketing,USA High School Student Marketing Database by ASL Marketing dataset provides information regarding:  and more.,,"USA College Student Database - ASL Marketing,Student Marketing Data - Reach Out to Students With Our Customizable Student Data,KIA Biz's B2B Global Marketing Data for ABM, Email Marketing, Digital Marketing, and for all Outreach activities,K-12 Education Professionals USA Marketing Database - Data Marketers Group :",4,
USA College Student Database - ASL Marketing,ASL Marketing,USA College Student Database - ASL Marketing dataset provides information regarding:  and more.,,"USA High School Student Marketing Database,Student Marketing Data - Reach Out to Students With Our Customizable Student Data,Stirista Higher Education College Student and Gen Z Data,Israel Database Marketing Data, All Companies, Industories, Executives, Health, Food, Hospital, School, College, Universities :",3,
UK + Italy Company Firmographic & B2B Contact Data - Atoka API,Atoka,"UK + Italy Company Firmographic & B2B Contact Data - Atoka API dataset provides information regarding: B2B Data,Firmographic Data,Company Data and more.",,"SMB Firmographic Data including contact info,180byTwo Xplorer | B2B Firmographic & Technographic Database USA (55M+ companies, 110M contacts),Lead411 Company Firmographics and Technographics,Company Comprehensive API (UK) - B2B Data :",3,"B2B Data,Firmographic Data,Company Data"
Audiencerate Audience Data Platform with Global Coverage for Marketers,Audiencerate,"Audiencerate Audience Data Platform with Global Coverage for Marketers dataset provides information regarding: IP Data,Demographic Data and more.",,"Audiencerate Data Platform for Data owners,Audience Data for Nordic Marketers,start.io Prepackaged Audiences - Audience Data with Global Coverage,OnAudience Data Management Platform (DMP) :",5,"IP Data,Demographic Data"
Audiencerate Propietary Audience Data Offering with global coverage and fully GDPR/CCPA compliant,Audiencerate,"Audiencerate Propietary Audience Data Offering with global coverage and fully GDPR/CCPA compliant dataset provides information regarding: Demographic Data,Individual Data and more.",,"Audiencerate Audience Data Platform with Global Coverage for Marketers,start.io Prepackaged Audiences - Audience Data with Global Coverage,Custom Audiences: Audience Data for LATAM,Acxiom High Value Audiences (HVA) - Audience Data (Germany, UK & India Covered) :",5,"Demographic Data,Individual Data"
"B2B Decision Makers - Contact Data across all main Industries and SMBs (DACH, UK, France)",B2B Media Group,"B2B Decision Makers - Contact Data across all main Industries and SMBs (DACH, UK, France) dataset provides information regarding: B2B Data,B2B Intent Data,Website Data and more.",,"Blue Mail Media's B2B Decision Makers Data Will Help You Reach Decision Makers Across the Globe,B2B Contact Database of Decision Makers based on Industry Selection in Germany, Switzerland, Austria - Address-Base,Photon Commerce - B2B Decision-Maker Contact Data (2.5M+ B2B contacts in US & Canada),US Customer Service Directors and Decision-Makers | B2B Contact Data :",3,"B2B Data,B2B Intent Data,Website Data"
Barbour ABI - Construction Project Leads in the UK & contacts of decision makers (GDPR compliant),Barbour ABI,Barbour ABI - Construction Project Leads in the UK & contacts of decision makers (GDPR compliant) dataset provides information regarding: Construction Industry Data and more.,,"Barbour ABI - Top 50 Contractors, Architects and Clients in UK construction / Construction Market Data,Databuild Online: Construction Project Leads Data for Africa & South Africa,Construction Projects Data Interactive Platform,List of 20M Construction companies worldwide :",5,Construction Industry Data
"Barbour ABI - Top 50 Contractors, Architects and Clients in UK construction / Construction Market Data",Barbour ABI,"Barbour ABI - Top 50 Contractors, Architects and Clients in UK construction / Construction Market Data dataset provides information regarding: Construction Industry Data and more.",,"Barbour ABI - Construction Market Data UK - Snap Analysis Report,List of 20M Construction companies worldwide,Construction Equipment Manager Sentiment Data,Construction Projects Data Interactive Platform :",5,Construction Industry Data
Barbour ABI - Construction Market Data UK - Snap Analysis Report,Barbour ABI,Barbour ABI - Construction Market Data UK - Snap Analysis Report dataset provides information regarding: Construction Industry Data and more.,,"Barbour ABI - Top 50 Contractors, Architects and Clients in UK construction / Construction Market Data,Normals Weather Report | Weather Averages for 30k+ locations all over the globe | Construction Rain Days Report,List of 20M Construction companies worldwide,Construction Equipment Manager Sentiment Data :",5,Construction Industry Data
